Film Title,Character,Gender,Race/Ethnicity,Culture,Role,Marginalized,POC,Dialogue,Cleaned Dialogue,Sentiment Scores,Compound Score,Sentiment
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,That’s right. I’m not about to let you boys have all the fun.,That is right. I am not about to let you boys have all the fun.,"{'neg': 0.0, 'neu': 0.798, 'pos': 0.202, 'compound': 0.5106}",0.5106,Positive 😊
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,Reef the topsails!,Reef the topsails!,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,"Steady on the course. It’s all right, Thomas. We’ll get her tied off.","Steady on the course. It is all right, Thomas. We will get her tied off.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,"Thomas, watch out!","Thomas, watch out!","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,Pull the pin!,Pull the pin!,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,"Hang on, Thomas. I’ve got you.","Hang on, Thomas. I have got you.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,"Well, that was refreshing.","Well, that was refreshing.","{'neg': 0.0, 'neu': 0.588, 'pos': 0.412, 'compound': 0.2732}",0.2732,Positive 😊
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,Of course. You’d all do the same for me.,Of course. You would all do the same for me.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
Pocahontas,Ratcliffe,Male,Caucasian,English,Antagonist,False,False,Trouble on deck?,Trouble on deck?,"{'neg': 0.574, 'neu': 0.426, 'pos': 0.0, 'compound': -0.4019}",-0.4019,Negative 😡
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,"Thomas fell overboard, sir.","Thomas fell overboard, sir.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
Pocahontas,Ratcliffe,Male,Caucasian,English,Antagonist,False,False,"Thank heavens he’s been successfully retrieved. Well done, Smith.","Thank heavens he is been successfully retrieved. Well done, Smith.","{'neg': 0.0, 'neu': 0.364, 'pos': 0.636, 'compound': 0.8591}",0.8591,Positive 😊
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,"Thank you, sir.","Thank you, sir.","{'neg': 0.0, 'neu': 0.444, 'pos': 0.556, 'compound': 0.3612}",0.3612,Positive 😊
Pocahontas,Ratcliffe,Male,Caucasian,English,Antagonist,False,False,"Don’t lose heart, men. It won’t be long before we reach the New World, and remember what awaits us there: freedom—","Do not lose heart, men. It will not be long before we reach the New World, and remember what awaits us there: freedom—","{'neg': 0.0, 'neu': 0.811, 'pos': 0.189, 'compound': 0.3935}",0.3935,Positive 😊
Pocahontas,Percy,Male,Animal,English,Supporting,False,False,[Bark.],,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
Pocahontas,Ratcliffe,Male,Caucasian,English,Antagonist,False,False,Prosperity—,Prosperity—,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
Pocahontas,Percy,Male,Animal,English,Supporting,False,False,[Bark bark.],,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
Pocahontas,Ratcliffe,Male,Caucasian,English,Antagonist,False,False,"The adventure of our lives. You are the finest crew England has to offer and nothing, not wind nor rain nor a thousand bloodthirsty savages shall stand in our way. Carry on men!","The adventure of our lives. You are the finest crew England has to offer and nothing, not wind nor rain nor a thousand bloodthirsty savages shall stand in our way. Carry on men!","{'neg': 0.0, 'neu': 0.848, 'pos': 0.152, 'compound': 0.6562}",0.6562,Positive 😊
Pocahontas,Wiggins,Male,Caucasian,English,Supporting,False,False,A stirring oration sir. I’m sure the men were most exhilarated.,A stirring oration sir. I am sure the men were most exhilarated.,"{'neg': 0.0, 'neu': 0.548, 'pos': 0.452, 'compound': 0.7645}",0.7645,Positive 😊
Pocahontas,Ratcliffe,Male,Caucasian,English,Antagonist,False,False,"Let us hope so. I’ll need those witless peasants to dig up my gold, won’t I?","Let us hope so. I will need those witless peasants to dig up my gold, will not I?","{'neg': 0.0, 'neu': 0.847, 'pos': 0.153, 'compound': 0.4404}",0.4404,Positive 😊
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,"You just worry about that fortune of yours, Thomas. Leave the savages to me.","You just worry about that fortune of yours, Thomas. Leave the savages to me.","{'neg': 0.405, 'neu': 0.595, 'pos': 0.0, 'compound': -0.7579}",-0.7579,Negative 😡
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,Or maybe two or three,Or maybe two or three,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,"Like all the others, I suppose. I’ve seen hundreds of New Worlds, Thomas. What could possibly be different about this one?","Like all the others, I suppose. I have seen hundreds of New Worlds, Thomas. What could possibly be different about this one?","{'neg': 0.0, 'neu': 0.884, 'pos': 0.116, 'compound': 0.3612}",0.3612,Positive 😊
Pocahontas,Kekata,Male,Native American,Powhatan,Supporting,True,True,Ka-ma wingapo Powhatan.,Ka-ma wingapo Powhatan.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
Pocahontas,Powhatan,Male,Native American,Powhatan,Supporting,True,True,"Ay-man-ay-cho, Kekata. It’s good to be home. Chesk-cham-ay! The Massawomecks are defeated! With the help of our brothers, our villages are safe again!","Ay-man-ay-cho, Kekata. It is good to be home. Chesk-cham-ay! The Massawomecks are defeated! With the help of our brothers, our villages are safe again!","{'neg': 0.095, 'neu': 0.616, 'pos': 0.289, 'compound': 0.7412}",0.7412,Positive 😊
Pocahontas,Kekata,Male,Native American,Powhatan,Supporting,True,True,Your return has brought much joy to the village. Look at all the smiling faces.,Your return has brought much joy to the village. Look at all the smiling faces.,"{'neg': 0.0, 'neu': 0.657, 'pos': 0.343, 'compound': 0.7783}",0.7783,Positive 😊
Pocahontas,Powhatan,Male,Native American,Powhatan,Supporting,True,True,"Yes, but there is one smiling face I don’t see. Where is my daughter?","Yes, but there is one smiling face I do not see. Where is my daughter?","{'neg': 0.0, 'neu': 0.672, 'pos': 0.328, 'compound': 0.705}",0.705,Positive 😊
Pocahontas,Kekata,Male,Native American,Powhatan,Supporting,True,True,You know Pocahontas. She has her mother’s spirit. She goes wherever the wind takes her.,You know Pocahontas. She has her mother’s spirit. She goes wherever the wind takes her.,"{'neg': 0.0, 'neu': 0.892, 'pos': 0.108, 'compound': 0.1779}",0.1779,Positive 😊
Pocahontas,Nakoma,Female,Native American,Powhatan,Supporting,True,True,Pocahontas! Your father’s back! Come down here!,Pocahontas! Your father’s back! Come down here!,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,"He’s back, Flit! Come on, Meeko.","He is back, Flit! Come on, Meeko.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
Pocahontas,Nakoma,Female,Native American,Powhatan,Supporting,True,True,"No, not that… way.","No, not that... way.","{'neg': 0.423, 'neu': 0.577, 'pos': 0.0, 'compound': -0.296}",-0.296,Negative 😡
Pocahontas,Nakoma,Female,Native American,Powhatan,Supporting,True,True,"Show-off. Pocahontas? Pocahontas? Are you all right? Well, you better be all right because I’m not coming in after you…! [Coughs.] Don’t you think we’re getting a little old for these games?","Show-off. Pocahontas? Pocahontas? Are you all right? Well, you better be all right because I am not coming in after you...!  Do not you think we are getting a little old for these games?","{'neg': 0.0, 'neu': 0.828, 'pos': 0.172, 'compound': 0.7393}",0.7393,Positive 😊
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,Help me turn this thing over.,Help me turn this thing over.,"{'neg': 0.0, 'neu': 0.649, 'pos': 0.351, 'compound': 0.4019}",0.4019,Positive 😊
Pocahontas,Nakoma,Female,Native American,Powhatan,Supporting,True,True,What were you doing up there?,What were you doing up there?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,Thinking. Meeko!,Thinking. Meeko!,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
Pocahontas,Nakoma,Female,Native American,Powhatan,Supporting,True,True,"About the dream again? Oh, have you figured it out yet?","About the dream again? Oh, have you figured it out yet?","{'neg': 0.0, 'neu': 0.809, 'pos': 0.191, 'compound': 0.3313}",0.3313,Positive 😊
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,"I know it means something, I just don’t know what.","I know it means something, I just do not know what.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
Pocahontas,Nakoma,Female,Native American,Powhatan,Supporting,True,True,You should ask your father about it.,You should ask your father about it.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,"Maybe I should. Come on, Flit. Quit playing around, we have to get back.","Maybe I should. Come on, Flit. Quit playing around, we have to get back.","{'neg': 0.0, 'neu': 0.87, 'pos': 0.13, 'compound': 0.2023}",0.2023,Positive 😊
Pocahontas,Powhatan,Male,Native American,Powhatan,Supporting,True,True,"…faced a determined enemy. The battle lasted from the rising of the sun until the evening shadows fell. Our warriors fought with courage, but none as bravely as Kocoum. He attacked with the fierce strength of the bear. He has proven himself to be the greatest…","...faced a determined enemy. The battle lasted from the rising of the sun until the evening shadows fell. Our warriors fought with courage, but none as bravely as Kocoum. He attacked with the fierce strength of the bear. He has proven himself to be the greatest...","{'neg': 0.227, 'neu': 0.634, 'pos': 0.139, 'compound': -0.6313}",-0.6313,Negative 😡
Pocahontas,Nakoma,Female,Native American,Powhatan,Supporting,True,True,"Oh, he’s so handsome.","Oh, he is so handsome.","{'neg': 0.0, 'neu': 0.493, 'pos': 0.507, 'compound': 0.6269}",0.6269,Positive 😊
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,I especially love his smile.,I especially love his smile.,"{'neg': 0.0, 'neu': 0.216, 'pos': 0.784, 'compound': 0.8051}",0.8051,Positive 😊
Pocahontas,Powhatan,Male,Native American,Powhatan,Supporting,True,True,… destroying every enemy in his path. Tonight we will feast in his honor.,... destroying every enemy in his path. Tonight we will feast in his honor.,"{'neg': 0.333, 'neu': 0.516, 'pos': 0.15, 'compound': -0.5994}",-0.5994,Negative 😡
Pocahontas,Powhatan,Male,Native American,Powhatan,Supporting,True,True,My daughter.,My daughter.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,"Wingapo, father.","Wingapo, father.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
Pocahontas,Powhatan,Male,Native American,Powhatan,Supporting,True,True,Seeing you gives me great joy.,Seeing you gives me great joy.,"{'neg': 0.0, 'neu': 0.336, 'pos': 0.664, 'compound': 0.836}",0.836,Positive 😊
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,I am so glad you’ve come home safely.,I am so glad you have come home safely.,"{'neg': 0.0, 'neu': 0.48, 'pos': 0.52, 'compound': 0.7574}",0.7574,Positive 😊
Pocahontas,Powhatan,Male,Native American,Powhatan,Supporting,True,True,"Come with me, we have much to talk about. I want to hear everything you’ve been doing.","Come with me, we have much to talk about. I want to hear everything you have been doing.","{'neg': 0.0, 'neu': 0.925, 'pos': 0.075, 'compound': 0.0772}",0.0772,Positive 😊
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,"Father, for many nights now I’ve been having a very strange dream. I think it’s telling me something’s about to happen, something exciting.","Father, for many nights now I have been having a very strange dream. I think it is telling me something is about to happen, something exciting.","{'neg': 0.076, 'neu': 0.725, 'pos': 0.199, 'compound': 0.5244}",0.5244,Positive 😊
Pocahontas,Powhatan,Male,Native American,Powhatan,Supporting,True,True,"Yes, something exciting is about to happen.","Yes, something exciting is about to happen.","{'neg': 0.0, 'neu': 0.459, 'pos': 0.541, 'compound': 0.7096}",0.7096,Positive 😊
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,"Really, what is it?","Really, what is it?","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
Pocahontas,Powhatan,Male,Native American,Powhatan,Supporting,True,True,Kocoum has asked to seek your hand in marriage.,Kocoum has asked to seek your hand in marriage.,"{'neg': 0.0, 'neu': 0.714, 'pos': 0.286, 'compound': 0.4939}",0.4939,Positive 😊
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,Marry Kocoum?,Marry Kocoum?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
Pocahontas,Powhatan,Male,Native American,Powhatan,Supporting,True,True,I told him it would make my heart soar.,I told him it would make my heart soar.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,But he’s so… serious.,But he is so... serious.,"{'neg': 0.266, 'neu': 0.734, 'pos': 0.0, 'compound': -0.1154}",-0.1154,Negative 😡
Pocahontas,Powhatan,Male,Native American,Powhatan,Supporting,True,True,"My daughter, Kocoum will make a fine husband. He is loyal and strong and will build you a good house with sturdy walls. With him you will be safe from harm.","My daughter, Kocoum will make a fine husband. He is loyal and strong and will build you a good house with sturdy walls. With him you will be safe from harm.","{'neg': 0.086, 'neu': 0.568, 'pos': 0.346, 'compound': 0.8591}",0.8591,Positive 😊
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,"Father, I think my dream is pointing me down another path.","Father, I think my dream is pointing me down another path.","{'neg': 0.0, 'neu': 0.818, 'pos': 0.182, 'compound': 0.25}",0.25,Positive 😊
Pocahontas,Powhatan,Male,Native American,Powhatan,Supporting,True,True,This is the right path for you.,This is the right path for you.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,But why can’t I choose—,But why cannot I choose—,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
Pocahontas,Powhatan,Male,Native American,Powhatan,Supporting,True,True,"Pocahontas, come with me. You are the daughter of the chief. It is time to take your place among our people. Even the wild mountain stream must someday join the big river.","Pocahontas, come with me. You are the daughter of the chief. It is time to take your place among our people. Even the wild mountain stream must someday join the big river.","{'neg': 0.0, 'neu': 0.934, 'pos': 0.066, 'compound': 0.296}",0.296,Positive 😊
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,He wants me to be steady… Like the river. But it’s not steady at all.,He wants me to be steady... Like the river. But it is not steady at all.,"{'neg': 0.0, 'neu': 0.896, 'pos': 0.104, 'compound': 0.1901}",0.1901,Positive 😊
Pocahontas,Grandmother Willow,Female,Mythical Entity,Nature/Spiritual,Supporting,False,False,Is that my Pocahontas?,Is that my Pocahontas?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,"Grandmother Willow, I need to talk to you.","Grandmother Willow, I need to talk to you.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
Pocahontas,Grandmother Willow,Female,Mythical Entity,Nature/Spiritual,Supporting,False,False,"Good morning, child. I was hoping you’d visit today. Why, your mother’s necklace!","Good morning, child. I was hoping you would visit today. Why, your mother’s necklace!","{'neg': 0.0, 'neu': 0.647, 'pos': 0.353, 'compound': 0.7177}",0.7177,Positive 😊
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,That’s what I wanted to talk to you about. My father wants me to marry Kocoum.,That is what I wanted to talk to you about. My father wants me to marry Kocoum.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral 😐
Pocahontas,Grandmother Willow,Female,Mythical Entity,Nature/Spiritual,Supporting,False,False,Kocoum? But he’s so serious.,Kocoum? But he is so serious.,"{'neg': 0.297, 'neu': 0.703, 'pos': 0.0, 'compound': -0.2759}",-0.2759,Negative 😡
